Topic Number,Topic (DE),Topic (EN)
1,Alltag,Everyday Life
2,Anfragen und Bitten,Requests and Petitions
3,Bildungswesen,Education System
4,"Bücher, Druck und Verlagswesen","Books, Printing, and Publishing"
5,Glaube und Lehre in der Praxis,Faith and Doctrine in Practice
6,Glaube und Lehre in der Theorie,Faith and Doctrine in Theory
7,Katastrophen und Naturphänomen,Disasters and Natural Phenomena
8,"Krankheit, Tod und Genesung in der Gesellschaft","Illness, Death, and Recovery in Society"
9,"Krankheit, Tod und Genesung innerhalb der Familie und enger Freunde","Illness, Death, and Recovery among Family and Close Friends"
10,Militärische und politische Angelegenheiten,Military and Political Affairs
11,Religiöse Verfolgung und Märtyrertum,Religious Persecution and Martyrdom
